Iteracion;Tipo;Tiempo (s)
663;POST;1,5995
664;GET;0,1455
664;POST;1,5683
665;GET;0,1347
665;POST;1,5457
666;GET;0,1399
666;POST;1,6582
667;GET;0,1487
667;POST;1,6036
668;GET;0,1454
668;POST;1,6049
669;GET;0,1369
669;POST;1,573
670;GET;0,1471
670;POST;1,6473
671;GET;0,1432
671;POST;1,5689
672;GET;0,1353
672;POST;1,5454
673;GET;0,1416
673;POST;1,565
674;GET;0,1392
674;POST;1,5209
675;GET;0,1381
675;POST;1,6763
676;GET;0,1412
676;POST;1,5595
677;GET;0,1413
677;POST;1,5456
678;GET;0,1513
678;POST;1,549
679;GET;0,1453
679;POST;1,5902
680;GET;0,1344
680;POST;1,4862
681;GET;0,1465
681;POST;1,5383
682;GET;0,1591
682;POST;1,5861
683;GET;0,1355
683;POST;1,5846
684;GET;0,1306
684;POST;1,5553
685;GET;0,138
685;POST;1,5873
686;GET;0,1326
686;POST;1,572
687;GET;0,1467
687;POST;1,522
688;GET;0,1332
688;POST;1,6292
689;GET;0,1416
689;POST;1,5132
690;GET;0,1321
690;POST;1,5827
691;GET;0,1319
691;POST;1,6118
692;GET;0,1401
692;POST;1,5956
693;GET;0,1365
693;POST;1,6267
694;GET;0,1283
694;POST;1,6039
695;GET;0,1367
695;POST;1,5797
696;GET;0,135
696;POST;1,554
697;GET;0,1314
697;POST;1,6351
698;GET;0,1385
698;POST;1,5976
699;GET;0,1414
699;POST;1,5538
700;GET;0,1311
